id,rikishi,losses,matches,wins,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
48,Oginohana,406,816,410,0.5,Maegashira2,yorikiri,,
29,Kotoryu,436,845,409,0.48,Maegashira1,yorikiri,,
1332,Sakahoko,464,870,406,0.47,Sekiwake,yorikiri,,
1334,Wakasegawa,440,845,405,0.48,Maegashira1,yorikiri,,
11726,Tokushoryu,436,837,401,0.48,Maegashira2,yorikiri,Aoki,
12210,Mitakeumi,308,709,401,0.57,Ozeki,oshidashi,,
96,Jumonji,457,850,393,0.46,Maegashira6,yorikiri,Kaigatake,
1187,Kokkai,440,832,392,0.47,Komusubi,yorikiri,,
26,Higonoumi,474,862,388,0.45,Maegashira1,yorikiri,,
6432,Baruto,205,589,384,0.65,Ozeki,yorikiri,,
107,Kasuganishiki,415,798,383,0.48,Maegashira5,yorikiri,,
9079,Kotoyuki,358,739,381,0.52,Sekiwake,oshidashi,,
11927,Terunofuji,225,603,378,0.63,Yokozuna,yorikiri,Wakamisho,
1338,Ozutsu,478,855,377,0.44,Sekiwake,yorikiri,,
62,Daishi,430,807,377,0.47,Maegashira3,yorikiri,,
135,Hokutoriki,415,792,377,0.48,Sekiwake,oshidashi,,
25,Hamanoshima,441,816,375,0.46,Komusubi,yorikiri,Hamasu,
12130,Shodai,326,700,374,0.53,Ozeki,yorikiri,,
865,Kasugao,402,775,373,0.48,Maegashira3,yorikiri,,
6491,Ikioi,404,776,372,0.48,Sekiwake,oshidashi,,
1303,Kotofuji,412,783,371,0.47,Sekiwake,yorikiri,Kotoosugi,
12043,Onosho,344,715,371,0.52,Komusubi,oshidashi,,
1087,Iwakiyama,352,721,369,0.51,Komusubi,yorikiri,,
1296,Kasugafuji,415,783,368,0.47,Maegashira1,oshidashi,,
1345,Tamaryu,429,795,366,0.46,Komusubi,yorikiri,,
1310,Kirinishiki,398,764,366,0.48,Maegashira2,yorikiri,,
6018,Homasho,326,691,365,0.53,Komusubi,yorikiri,,
12107,Ichinojo,306,670,364,0.54,Sekiwake,yorikiri,,
53,Tokitsunada,375,737,362,0.49,Maegashira4,yorikiri,,
1317,Hananokuni,387,748,361,0.48,Maegashira1,yorikiri,,
42,Mainoumi,410,771,361,0.47,Komusubi,shitatenage,Nagao,
38,Toki,404,765,361,0.47,Komusubi,hatakikomi,,
52,Tomonohana,377,734,357,0.49,Komusubi,shitatenage,,
12191,Takakeisho,209,566,357,0.63,Ozeki,oshidashi,Sato,
1295,Kyokudozan,402,757,355,0.47,Komusubi,yorikiri,,
7240,Chiyomaru,382,737,355,0.48,Maegashira5,oshidashi,,
1315,Enazakura,383,736,353,0.48,Maegashira1,oshidashi,,
1285,Asahisato,382,735,353,0.48,Maegashira14,yorikiri,,
1348,Jingaku,433,783,350,0.45,Komusubi,yorikiri,,
1333,Sasshunada,374,723,349,0.48,Maegashira1,oshidashi,,
22,Gojoro,360,708,348,0.49,Maegashira3,oshidashi,,
795,Tamaasuka,406,753,347,0.46,Maegashira9,yorikiri,,
7239,Kyokushuho,352,699,347,0.5,Maegashira4,yorikiri,,
11845,Kagayaki,382,728,346,0.48,Maegashira3,oshidashi,Tatsu,
1204,Kakizoe,393,738,345,0.47,Komusubi,oshidashi,,
71,Takanowaka,348,691,343,0.5,Sekiwake,yorikiri,Takaozaki,
145,Kobo,381,723,342,0.47,Maegashira9,yorikiri,Mineyama,
45,Daishoho,372,712,340,0.48,Komusubi,yorikiri,Murata,
1347,Itai,426,765,339,0.44,Komusubi,oshidashi,,
1352,Tagaryu,417,751,334,0.44,Sekiwake,yorikiri,,
47,Chiyotenzan,391,725,334,0.46,Komusubi,yorikiri,,
1353,Daijuyama,404,737,333,0.45,Sekiwake,yorikiri,,
12239,Hokutofuji,286,619,333,0.54,Komusubi,oshidashi,Daiki,
5985,Satoyama,372,703,331,0.47,Maegashira12,oshidashi,,
1361,Daitetsu,378,707,329,0.47,Komusubi,yorikiri,,
97,Tochinohana,364,693,329,0.47,Komusubi,yorikiri,Yachi,
6642,Chiyonokuni,309,636,327,0.51,Maegashira1,hatakikomi,,
1359,Koboyama,390,711,321,0.45,Sekiwake,yorikiri,,
1379,Asashio,208,528,320,0.61,Ozeki,yorikiri,,
11723,Azumaryu,330,648,318,0.49,Maegashira11,yorikiri,,
1299,Kiraiho,345,657,312,0.47,Maegashira4,yorikiri,,
7153,Kotoeko,341,648,307,0.47,Maegashira4,yorikiri,,
20,Shikishima,347,653,306,0.47,Maegashira1,yorikiri,Yoshitane,
72,Tochisakae,311,617,306,0.5,Maegashira1,oshidashi,Okamoto,Tochinoiwa
1305,Kyokugozan,328,633,305,0.48,Maegashira9,oshidashi,,
2834,Futeno,335,639,304,0.48,Komusubi,yorikiri,Uchida,
4980,Sokokurai,316,617,301,0.49,Maegashira2,yorikiri,,
58,Oikari,296,592,296,0.5,Maegashira11,oshidashi,,
175,Ushiomaru,305,601,296,0.49,Maegashira10,oshidashi,,
11724,Takanoiwa,264,557,293,0.53,Maegashira2,yorikiri,,
1141,Shotenro,330,619,289,0.47,Maegashira2,oshidashi,Musashiryu,
43,Kinkaiyama,304,591,287,0.49,Maegashira6,yorikiri,,
1369,Toryu,359,645,286,0.44,Sekiwake,yorikiri,,
6596,Nishikigi,306,592,286,0.48,Maegashira1,oshidashi,,
1330,Ryogoku,301,584,283,0.48,Komusubi,yorikiri,Kobayashiyama,
1364,Masurao,266,548,282,0.51,Sekiwake,yorikiri,Tejima,
64,Yotsukasa,327,607,280,0.46,Maegashira11,oshidashi,Suzuki,
11785,Chiyoshoma,311,591,280,0.47,Maegashira2,yorikiri,,
11946,Meisei,274,553,279,0.5,Sekiwake,yorikiri,,
1374,Kurama,327,605,278,0.46,Komusubi,yorikiri,,
12051,Ishiura,288,564,276,0.49,Maegashira5,yorikiri,,
1375,Masudayama,326,600,274,0.46,Sekiwake,hatakikomi,,
1290,Wakashoyo,287,561,274,0.49,Sekiwake,yorikiri,Shidenryu,Babaguchi
12113,Tsurugisho,285,556,271,0.49,Maegashira7,yorikiri,Abiko,
1294,Naminohana,290,560,270,0.48,Komusubi,oshidashi,,
8904,Homarefuji,295,565,270,0.48,Maegashira6,oshidashi,,
36,Asanosho,296,564,268,0.48,Maegashira2,oshidashi,Ozawa,Asasoyo
11855,Takanosho,227,495,268,0.54,Sekiwake,oshidashi,Masunosho,
1335,Takanofuji,350,616,266,0.43,Komusubi,yorikiri,,
12094,Abi,217,482,265,0.55,Sekiwake,oshidashi,Horikiri,
12026,Hidenoumi,274,538,264,0.49,Maegashira6,yorikiri,Iwasaki,
900,Wakakoyu,284,547,263,0.48,Komusubi,oshidashi,Yakigaya,
2842,Sadanofuji,325,588,263,0.45,Maegashira2,oshidashi,,
1380,Hidanohana,295,557,262,0.47,Maegashira2,yorikiri,,
1286,Kenko,297,559,262,0.47,Komusubi,yorikiri,,
2832,Arawashi,305,567,262,0.46,Maegashira2,yorikiri,,
113,Asofuji,291,550,259,0.47,Maegashira13,oshidashi,,
1372,Maenoshin,278,531,253,0.48,Komusubi,yorikiri,,
105,Buyuzan,280,531,251,0.47,Maegashira1,oshidashi,Tominagayama,
4127,Wakashimazu,145,395,250,0.63,Ozeki,yorikiri,,
6594,Ryuden,246,496,250,0.5,Komusubi,yorikiri,,
55,Zenshinyama,290,539,249,0.46,Juryo2,oshidashi,,
129,Hayateumi,212,461,249,0.54,Sekiwake,yorikiri,Saito,
6928,Chiyootori,226,472,246,0.52,Komusubi,yorikiri,,
11840,Chiyonoo,280,526,246,0.47,Maegashira14,yorikiri,Chiyoo,
864,Bushuyama,290,535,245,0.46,Maegashira3,yorikiri,,
1356,Kinoarashi,262,506,244,0.48,Maegashira8,yorikiri,,
371,Kyokunankai,257,500,243,0.49,Maegashira16,yorikiri,,
6010,Kimurayama,279,521,242,0.46,Maegashira7,oshidashi,,
2851,Fujiazuma,275,517,242,0.47,Maegashira4,oshidashi,,
8900,Akiseyama,305,546,241,0.44,Maegashira12,yorikiri,Fukao,
6531,Asahisho,268,508,240,0.47,Maegashira11,oshidashi,,
12291,Asanoyama,151,391,240,0.61,Ozeki,yorikiri,,
1378,Hoo,277,516,239,0.46,Sekiwake,yorikiri,,
4136,Futahaguro,110,349,239,0.68,Yokozuna,yorikiri,Kitao,
11868,Terutsuyoshi,274,513,239,0.47,Maegashira3,oshidashi,,
1376,Hananoumi,247,484,237,0.49,Komusubi,yorikiri,,
1311,Kototsubaki,244,479,235,0.49,Maegashira3,yorikiri,,
6559,Seiro,274,509,235,0.46,Maegashira14,yorikiri,,
88,Tamarikido,250,484,234,0.48,Maegashira8,yorikiri,,
2847,Masatsukasa,234,467,233,0.5,Maegashira8,oshidashi,,
21,Asahiyutaka,256,488,232,0.48,Komusubi,yorikiri,,
92,Harunoyama,247,479,232,0.48,Maegashira10,yorikiri,Haruyama,
12292,Yutakayama,259,491,232,0.47,Maegashira1,oshidashi,Oyanagi,
1309,Tamakairiki,258,488,230,0.47,Maegashira8,yorikiri,,
1331,Saganobori,265,494,229,0.46,Maegashira14,yorikiri,,
1307,Daishoyama,236,464,228,0.49,Maegashira2,yorikiri,,
4131,Tochitsurugi,286,511,225,0.44,Maegashira2,oshidashi,,
4099,Kirinji,287,512,225,0.44,Komusubi,oshidashi,,
1362,Onohana,241,465,224,0.48,Maegashira13,yorikiri,,
7115,Tosayutaka,231,453,222,0.49,Maegashira1,yorikiri,,
12203,Tobizaru,224,445,221,0.5,Komusubi,oshidashi,Iwasaki,
1421,Roho,185,405,220,0.54,Komusubi,yorikiri,,
12370,Wakatakakage,163,383,220,0.57,Sekiwake,yorikiri,,
6497,Daido,251,470,219,0.47,Maegashira8,uwatenage,Nakanishi,
1136,Mokonami,222,440,218,0.5,Maegashira6,yorikiri,,
6771,Aran,247,465,218,0.47,Sekiwake,hatakikomi,,
4126,Sadanoumi,284,501,217,0.43,Komusubi,yorikiri,,
1358,Hoshiiwato,249,466,217,0.47,Maegashira14,yorikiri,Hoshikabuto,
287,Wakatoba,252,466,214,0.46,Maegashira11,oshidashi,Yamada,
