id,rikishi,matches,wins,losses,pct,top_rank,favored_kimarite,alt_shikona2,alt_shikona3
48,Oginohana,816,410,406,0.5,Maegashira2,yorikiri,,
29,Kotoryu,845,409,436,0.48,Maegashira1,yorikiri,,
1332,Sakahoko,870,406,464,0.47,Sekiwake,yorikiri,,
1334,Wakasegawa,845,405,440,0.48,Maegashira1,yorikiri,,
11726,Tokushoryu,837,401,436,0.48,Maegashira2,yorikiri,Aoki,
12210,Mitakeumi,709,401,308,0.57,Ozeki,oshidashi,,
96,Jumonji,850,393,457,0.46,Maegashira6,yorikiri,Kaigatake,
1187,Kokkai,832,392,440,0.47,Komusubi,yorikiri,,
26,Higonoumi,862,388,474,0.45,Maegashira1,yorikiri,,
6432,Baruto,589,384,205,0.65,Ozeki,yorikiri,,
107,Kasuganishiki,798,383,415,0.48,Maegashira5,yorikiri,,
9079,Kotoyuki,739,381,358,0.52,Sekiwake,oshidashi,,
11927,Terunofuji,603,378,225,0.63,Yokozuna,yorikiri,Wakamisho,
1338,Ozutsu,855,377,478,0.44,Sekiwake,yorikiri,,
62,Daishi,807,377,430,0.47,Maegashira3,yorikiri,,
135,Hokutoriki,792,377,415,0.48,Sekiwake,oshidashi,,
25,Hamanoshima,816,375,441,0.46,Komusubi,yorikiri,Hamasu,
12130,Shodai,700,374,326,0.53,Ozeki,yorikiri,,
865,Kasugao,775,373,402,0.48,Maegashira3,yorikiri,,
6491,Ikioi,776,372,404,0.48,Sekiwake,oshidashi,,
1303,Kotofuji,783,371,412,0.47,Sekiwake,yorikiri,Kotoosugi,
12043,Onosho,715,371,344,0.52,Komusubi,oshidashi,,
1087,Iwakiyama,721,369,352,0.51,Komusubi,yorikiri,,
1296,Kasugafuji,783,368,415,0.47,Maegashira1,oshidashi,,
1345,Tamaryu,795,366,429,0.46,Komusubi,yorikiri,,
1310,Kirinishiki,764,366,398,0.48,Maegashira2,yorikiri,,
6018,Homasho,691,365,326,0.53,Komusubi,yorikiri,,
12107,Ichinojo,670,364,306,0.54,Sekiwake,yorikiri,,
53,Tokitsunada,737,362,375,0.49,Maegashira4,yorikiri,,
1317,Hananokuni,748,361,387,0.48,Maegashira1,yorikiri,,
42,Mainoumi,771,361,410,0.47,Komusubi,shitatenage,Nagao,
38,Toki,765,361,404,0.47,Komusubi,hatakikomi,,
52,Tomonohana,734,357,377,0.49,Komusubi,shitatenage,,
12191,Takakeisho,566,357,209,0.63,Ozeki,oshidashi,Sato,
1295,Kyokudozan,757,355,402,0.47,Komusubi,yorikiri,,
7240,Chiyomaru,737,355,382,0.48,Maegashira5,oshidashi,,
1315,Enazakura,736,353,383,0.48,Maegashira1,oshidashi,,
1285,Asahisato,735,353,382,0.48,Maegashira14,yorikiri,,
1348,Jingaku,783,350,433,0.45,Komusubi,yorikiri,,
1333,Sasshunada,723,349,374,0.48,Maegashira1,oshidashi,,
22,Gojoro,708,348,360,0.49,Maegashira3,hatakikomi,,
795,Tamaasuka,753,347,406,0.46,Maegashira9,yorikiri,,
7239,Kyokushuho,699,347,352,0.5,Maegashira4,yorikiri,,
11845,Kagayaki,728,346,382,0.48,Maegashira3,oshidashi,Tatsu,
1204,Kakizoe,738,345,393,0.47,Komusubi,oshidashi,,
71,Takanowaka,691,343,348,0.5,Sekiwake,yorikiri,Takaozaki,
145,Kobo,723,342,381,0.47,Maegashira9,yorikiri,Mineyama,
45,Daishoho,712,340,372,0.48,Komusubi,yorikiri,Murata,
1347,Itai,765,339,426,0.44,Komusubi,oshidashi,,
1352,Tagaryu,751,334,417,0.44,Sekiwake,yorikiri,,
47,Chiyotenzan,725,334,391,0.46,Komusubi,yorikiri,,
1353,Daijuyama,737,333,404,0.45,Sekiwake,yorikiri,,
12239,Hokutofuji,619,333,286,0.54,Komusubi,oshidashi,Daiki,
5985,Satoyama,703,331,372,0.47,Maegashira12,oshidashi,,
1361,Daitetsu,707,329,378,0.47,Komusubi,yorikiri,,
97,Tochinohana,693,329,364,0.47,Komusubi,yorikiri,Yachi,
6642,Chiyonokuni,636,327,309,0.51,Maegashira1,hatakikomi,,
1359,Koboyama,711,321,390,0.45,Sekiwake,yorikiri,,
1379,Asashio,528,320,208,0.61,Ozeki,yorikiri,,
11723,Azumaryu,648,318,330,0.49,Maegashira11,yorikiri,,
1299,Kiraiho,657,312,345,0.47,Maegashira4,yorikiri,,
7153,Kotoeko,648,307,341,0.47,Maegashira4,yorikiri,,
20,Shikishima,653,306,347,0.47,Maegashira1,yorikiri,Yoshitane,
72,Tochisakae,617,306,311,0.5,Maegashira1,oshidashi,Okamoto,Tochinoiwa
1305,Kyokugozan,633,305,328,0.48,Maegashira9,oshidashi,,
2834,Futeno,639,304,335,0.48,Komusubi,yorikiri,Uchida,
4980,Sokokurai,617,301,316,0.49,Maegashira2,yorikiri,,
58,Oikari,592,296,296,0.5,Maegashira11,oshidashi,,
175,Ushiomaru,601,296,305,0.49,Maegashira10,oshidashi,,
11724,Takanoiwa,557,293,264,0.53,Maegashira2,yorikiri,,
1141,Shotenro,619,289,330,0.47,Maegashira2,oshidashi,Musashiryu,
43,Kinkaiyama,591,287,304,0.49,Maegashira6,yorikiri,,
1369,Toryu,645,286,359,0.44,Sekiwake,yorikiri,,
6596,Nishikigi,592,286,306,0.48,Maegashira1,oshidashi,,
1330,Ryogoku,584,283,301,0.48,Komusubi,yorikiri,Kobayashiyama,
1364,Masurao,548,282,266,0.51,Sekiwake,yorikiri,Tejima,
64,Yotsukasa,607,280,327,0.46,Maegashira11,oshidashi,Suzuki,
11785,Chiyoshoma,591,280,311,0.47,Maegashira2,yorikiri,,
11946,Meisei,553,279,274,0.5,Sekiwake,yorikiri,,
1374,Kurama,605,278,327,0.46,Komusubi,yorikiri,,
12051,Ishiura,564,276,288,0.49,Maegashira5,yorikiri,,
1375,Masudayama,600,274,326,0.46,Sekiwake,hatakikomi,,
1290,Wakashoyo,561,274,287,0.49,Sekiwake,yorikiri,Shidenryu,Babaguchi
12113,Tsurugisho,556,271,285,0.49,Maegashira7,yorikiri,Abiko,
1294,Naminohana,560,270,290,0.48,Komusubi,oshidashi,,
8904,Homarefuji,565,270,295,0.48,Maegashira6,oshidashi,,
36,Asanosho,564,268,296,0.48,Maegashira2,oshidashi,Ozawa,Asasoyo
11855,Takanosho,495,268,227,0.54,Sekiwake,oshidashi,Masunosho,
1335,Takanofuji,616,266,350,0.43,Komusubi,yorikiri,,
12094,Abi,482,265,217,0.55,Sekiwake,oshidashi,Horikiri,
12026,Hidenoumi,538,264,274,0.49,Maegashira6,yorikiri,Iwasaki,
900,Wakakoyu,547,263,284,0.48,Komusubi,oshidashi,Yakigaya,
2842,Sadanofuji,588,263,325,0.45,Maegashira2,oshidashi,,
1380,Hidanohana,557,262,295,0.47,Maegashira2,yorikiri,,
1286,Kenko,559,262,297,0.47,Komusubi,yorikiri,,
2832,Arawashi,567,262,305,0.46,Maegashira2,yorikiri,,
113,Asofuji,550,259,291,0.47,Maegashira13,oshidashi,,
1372,Maenoshin,531,253,278,0.48,Komusubi,yorikiri,,
105,Buyuzan,531,251,280,0.47,Maegashira1,oshidashi,Tominagayama,
